,User,Tweet
151,linuswilson,RT @linuswilson: Did you try to pre-order the God of War Ragnarok PS5 controller on 9/27/22?
152,HaMoussier,"RT @Kiwii69100: 🎁 #CONCOURS 🎁 #GRATUIT 🎁

TENTEZ DE GAGNER 
🌟 GOD OF WAR RAGNÄROK 🌟 SUR PlayStation 5 #CADEAU !!

Pour participer RT &amp; FOLL…"
153,Vargplays,Elf on the shelf and everywhere else. #PS4live (God of War)  live at https://t.co/BSIfCZhjsP
154,Rzrbk22,"@MadameBaz All those plus A Plague Tale Requiem would be on my play list. Probably none right away because it's going to be TemTem, Triangle Strategy, and Trails from Zero until November when God of War hits"
155,SanchezStark,Acabo de ver el trailer del God of War cinco veces seguidas yo no puedo más.
156,Claygunnerson,RT @NicolaSaviori: Kratos. Can't wait to play God of war Ragnarok #GodofWarRagnarok #Kratos https://t.co/LloDsmoBY7
157,SteYouLater24,@Wario64 God of war made it run does it really want march I mean that's probably ff16
158,lilrizk,@MilesDompier I don't know what they were thinking placing it next to God of War
159,darrell88384848,"@CruddiGamerDad @MysticTigress4 @thatoldgamerguy I’m half way through god of war on pc currently , I think it’ll be good for mechanics to transition into the new one"
160,OsmanHiram,"RT @Caith_Sith: Se ha quedado una noche fantástica para empezar la precuela de God of War Ragnarok, Valkyrie Elysium, y así constatar si la…"
161,EastFallsLocal,"@thunderbrd1 @AllieMBltlfrog @FortuneMagazine All I have to say is there is always enough money to give rich people tax breaks, subsidies to corporations and industries, plenty of money for war but God forbid the actual people who are in need get a God damn dime. https://t.co/51Wnv113YF"
162,Skeletor242,"@tiradodobau Bully, god of war, god hand, mortal kombat, dbz budokai tekashi 3"
163,darrell88384848,"@thatoldgamerguy God of war will be for sure, plague tale I’m sure will be fine but goty , probably not"
164,_xe9_,"fyi it's not about ethnicity. there are dozens of ethnic groups living there. including ukrainians. god knows i have some very close relatives there who support this war. and i hate them just as much as the ethnic russians, or ethnic buryats or anyone else who lives there"
165,ragdollmom25,"RT @ChristIsComing5: On the precipice of war, famine and pestilence. Make sure you have received Christ as your Savior by believing the gos…"
166,DangeReinaldo,GOD OF WAR 2018 - Em Busca da Platina (Ps4) https://t.co/LK4EBMbIXU via @YouTube
167,HornyHorus666,"@jaredpalmer They want MRI but no way Jose it's mine. I want your/their bloodline to spill. I'm Mexican Egyptian American, reincarnated Horus God of War."
